maps/1-3.jpg
1200.0
270.0
36.0
49.0
30.0
class entities.StaticPathEntity;35.083332;19.0;0.0,14.0 6.0,75.0 111.0,78.0 104.0,0.0;0.0,10.666664 1.0,0.5 18.500002,0.0 17.333334,13.0;18.5;13.0
class entities.StaticPathEntity;59.416668;26.166664;0.0,18.0 8.0,283.0 75.0,284.0 75.0,0.0;0.0,44.333332 1.3333321,0.16666412 12.5,0.0 12.5,47.333332;12.5;47.333332
class entities.StaticPathEntity;85.416664;65.16667;58.0,0.0 73.0,486.0 9.0,480.0 0.0,5.0;9.666664,81.0 12.166664,0.0 1.5,1.0 0.0,80.166664;12.166667;81.0
class entities.StaticPathEntity;110.416664;43.916668;0.0,2.0 9.0,505.0 73.0,500.0 68.0,0.0;0.0,83.83333 1.500001,0.0 12.166667,0.83332825 11.333333,84.166664;12.166667;84.166664
class entities.StaticPathEntity;84.25;112.25;0.0,87.0 3.0,0.0 46.0,4.0 53.0,78.0;0.0,0.0 0.5,14.5 7.666666,13.833336 8.833332,1.5;8.833333;14.5
class entities.StaticPathEntity;158.25;78.0;19.0,0.0 0.0,77.0 251.0,134.0 285.0,4.0;3.166668,22.333336 0.0,9.500008 41.833332,0.0 47.500004,21.666672;47.5;22.333334
class entities.StaticPathEntity;145.5;39.083332;30.0,0.0 0.0,271.0 204.0,281.0 123.0,52.0;5.0,46.833336 0.0,1.6666718 34.000004,0.0 20.5,38.166668;34.0;46.833332
class entities.StaticPathEntity;179.5;104.333336;2.0,0.0 0.0,146.0 133.0,150.0 144.0,3.0;0.33333588,25.0 0.0,0.6666641 22.166664,0.0 24.0,24.5;24.0;25.0
class entities.StaticPathEntity;190.75;24.666664;1.0,0.0 0.0,207.0 190.0,224.0 209.0,69.0;0.16666794,37.333332 0.0,2.8333359 31.666664,0.0 34.833336,25.833336;34.833332;37.333332
class entities.StaticPathEntity;57.833332;70.416664;0.0,0.0 17.0,289.0 80.0,281.0 82.0,10.0;0.0,48.166668 2.8333359,0.0 13.333332,1.3333359 13.666668,46.500004;13.666667;48.166668

