maps/1-5.jpg
1340.0
285.0
36.0
49.0
40.0
class entities.Wall;0.0;51.916668;1.0;103.833336
class entities.Wall;405.83334;51.916668;1.0;103.833336
class entities.DeadlyStaticPathEntity;9.833333;4.083336;0.0,41.0 3.0,1.0 94.0,0.0 94.0,40.0;0.0,0.0 0.5,6.6666718 15.666666,6.833336 15.666666,0.16667175;15.666667;6.8333335
class entities.DeadlyStaticPathEntity;31.166666;11.5;4.0,1.0 0.0,61.0 152.0,62.0 150.0,0.0;0.66666603,10.166664 0.0,0.16666412 25.333334,0.0 24.999998,10.333328;25.333334;10.333333
class entities.DeadlyStaticPathEntity;51.833332;22.166664;7.0,2.0 0.0,178.0 90.0,171.0 88.0,0.0;1.1666641,29.333332 0.0,0.0 15.0,1.1666641 14.666664,29.666664;15.0;29.666666
class entities.DeadlyStaticPathEntity;65.916664;35.75;1.0,0.0 0.0,319.0 71.0,318.0 70.0,0.0;0.16666794,53.166668 0.0,0.0 11.833332,0.16667175 11.666668,53.166668;11.833333;53.166668
class entities.DeadlyStaticPathEntity;16.5;88.583336;0.0,1.0 5.0,59.0 166.0,57.0 165.0,0.0;0.0,9.666672 0.83333325,0.0 27.666666,0.33333588 27.5,9.833336;27.666666;9.833333
class entities.DeadlyStaticPathEntity;39.333332;82.083336;0.0,2.0 3.0,183.0 73.0,185.0 74.0,0.0;0.0,30.499992 0.5,0.33332825 12.166668,0.0 12.333332,30.833328;12.333333;30.833334
class entities.DeadlyStaticPathEntity;66.666664;88.083336;0.0,0.0 3.0,103.0 76.0,103.0 74.0,2.0;0.0,17.166672 0.5,0.0 12.666666,0.0 12.333334,16.833336;12.666667;17.166666
class entities.DeadlyStaticPathEntity;82.083336;53.333332;0.0,71.0 2.0,2.0 109.0,0.0 106.0,72.0;0.0,0.16666794 0.33333397,11.666668 18.166666,12.0 17.666666,0.0;18.166666;12.0
class entities.DynamicPathEntity;91.5;68.333336;0.0,0.0;0.0,0.0;0.0;0.0
class entities.DeadlyStaticPathEntity;100.0;86.166664;0.0,162.0 103.0,160.0 106.0,0.0 1.0,4.0;0.0,0.0 17.166668,0.33333588 17.666668,27.0 0.16666794,26.333336;17.666666;27.0

